ID;loja;date;GMV;TR;Bonus;Comissao;Último;Abertura;Máxima;Mínima;Var%
2773;Loja 8;01/01/2019;2573;17;7719;192;3,8813;3,8813;3,8813;3,8813;3,8813
2774;Loja 8;02/01/2019;7107;42;21325;533;3,79;3,8786;3,8786;3,8971;3,7828
2775;Loja 8;03/01/2019;13121;63;39362;983;3,7565;3,796;3,796;3,8074;3,7376
2776;Loja 8;04/01/2019;12376;63;37130;926;3,7155;3,7593;3,7593;3,785;3,7088
2777;Loja 8;05/01/2019;10719;58;35245;880;3,7155;3,7593;3,7593;3,785;3,7088
2778;Loja 8;06/01/2019;6642;34;19925;497;3,7155;3,7593;3,7593;3,785;3,7088
2779;Loja 8;07/01/2019;14280;70;42843;1070;3,7356;3,7139;3,7139;3,7384;3,6898
2780;Loja 8;08/01/2019;13704;60;39038;975;3,7133;3,7373;3,7373;3,7412;3,7034
2781;Loja 8;09/01/2019;16914;78;50730;1258;3,6807;3,7138;3,7138;3,7155;3,6743
2782;Loja 8;10/01/2019;13961;71;41366;1032;3,7105;3,6807;3,6807;3,7249;3,6746
2783;Loja 8;11/01/2019;18977;73;56916;1420;3,7113;3,6943;3,6943;3,73;3,6913
2784;Loja 8;12/01/2019;12303;57;36898;921;3,7113;3,6943;3,6943;3,73;3,6913
2785;Loja 8;13/01/2019;15373;69;45132;1126;3,7113;3,6943;3,6943;3,73;3,6913
2786;Loja 8;14/01/2019;24172;107;156619;3127;3,6991;3,7121;3,7121;3,7357;3,6846
2787;Loja 8;15/01/2019;42790;151;232563;4650;3,7172;3,7024;3,7024;3,7325;3,6947
2788;Loja 8;16/01/2019;36908;161;197387;3942;3,7366;3,7151;3,7151;3,7381;3,7084
2789;Loja 8;17/01/2019;17677;76;62467;1480;3,7504;3,7329;3,7329;3,7744;3,7262
2790;Loja 8;18/01/2019;7919;48;22276;555;3,7517;3,748;3,748;3,7743;3,7285
2791;Loja 8;19/01/2019;6848;35;20540;512;3,7517;3,748;3,748;3,7743;3,7285
2792;Loja 8;20/01/2019;9977;42;29939;748;3,7517;3,748;3,748;3,7743;3,7285
2793;Loja 8;21/01/2019;15027;62;45086;1127;3,755;3,7609;3,7609;3,7811;3,7541
