ID;loja;date;GMV;TR;onus;Comissao;Dolar_Ultimo;Dolar_Aertura;Dolar_Maxima;Dolar_Minima;Dolar_Var;Bov_Abertura;Bov_Fechamento;Bov_Variacao;Bov_Minimo;Bov_Maximo;Bov_Volume;;;;;;;;
2773;Loja 8;01/01/2019;2573;17;7719;192;3,8813;3,8813;3,8813;3,8813;3,8813;87887;91012;3,56;87536;91479;17400000;;;;;;;;
2774;Loja 8;02/01/2019;7107;42;21325;533;3,79;3,8786;3,8786;3,8971;3,7828;87887;91012;3,56;87536;91479;17400000;;;;;;;;
2775;Loja 8;03/01/2019;13121;63;39362;983;3,7565;3,796;3,796;3,8074;3,7376;91011;91546;0,59;89922;91596;18220000;;;;;;;;
2776;Loja 8;04/01/2019;12376;63;37130;926;3,7155;3,7593;3,7593;3,785;3,7088;91577;91841;0,32;90824;92701;16760000;;;;;;;;
2777;Loja 8;05/01/2019;10719;58;35245;880;3,7155;3,7593;3,7593;3,785;3,7088;91577;91841;0,32;90824;92701;16760000;;;;;;;;
2778;Loja 8;06/01/2019;6642;34;19925;497;3,7155;3,7593;3,7593;3,785;3,7088;91577;91841;0,32;90824;92701;16760000;;;;;;;;
2779;Loja 8;07/01/2019;14280;70;42843;1070;3,7356;3,7139;3,7139;3,7384;3,6898;91845;91699;-0,15;91288;92552;14910000;;;;;;;;
2780;Loja 8;08/01/2019;13704;60;39038;975;3,7133;3,7373;3,7373;3,7412;3,7034;91699;92032;0,36;91064;92231;14170000;;;;;;;;
2781;Loja 8;09/01/2019;16914;78;50730;1258;3,6807;3,7138;3,7138;3,7155;3,6743;92033;93613;1,72;92028;93626;16510000;;;;;;;;
2782;Loja 8;10/01/2019;13961;71;41366;1032;3,7105;3,6807;3,6807;3,7249;3,6746;93599;93802;0,2;93050;93987;14250000;;;;;;;;
2783;Loja 8;11/01/2019;18977;73;56916;1420;3,7113;3,6943;3,6943;3,73;3,6913;93806;93658;-0,15;93359;93961;15000000;;;;;;;;
2784;Loja 8;12/01/2019;12303;57;36898;921;3,7113;3,6943;3,6943;3,73;3,6913;93806;93658;-0,15;93359;93961;15000000;;;;;;;;
2785;Loja 8;13/01/2019;15373;69;45132;1126;3,7113;3,6943;3,6943;3,73;3,6913;93806;93658;-0,15;93359;93961;15000000;;;;;;;;
2786;Loja 8;14/01/2019;24172;107;156619;3127;3,6991;3,7121;3,7121;3,7357;3,6846;93645;94474;0,87;93335;94474;13730000;;;;;;;;
2787;Loja 8;15/01/2019;42790;151;232563;4650;3,7172;3,7024;3,7024;3,7325;3,6947;94474;94056;-0,44;93402;94695;14940000;;;;;;;;
2788;Loja 8;16/01/2019;36908;161;197387;3942;3,7366;3,7151;3,7151;3,7381;3,7084;94057;94393;0,36;93687;94393;20150000;;;;;;;;
2789;Loja 8;17/01/2019;17677;76;62467;1480;3,7504;3,7329;3,7329;3,7744;3,7262;94393;95351;1,01;93950;95682;15870000;;;;;;;;
2790;Loja 8;18/01/2019;7919;48;22276;555;3,7517;3,748;3,748;3,7743;3,7285;95386;96097;0,78;95386;96396;16750000;;;;;;;;
2791;Loja 8;19/01/2019;6848;35;20540;512;3,7517;3,748;3,748;3,7743;3,7285;95386;96097;0,78;95386;96396;16750000;;;;;;;;
2792;Loja 8;20/01/2019;9977;42;29939;748;3,7517;3,748;3,748;3,7743;3,7285;95386;96097;0,78;95386;96396;16750000;;;;;;;;
2793;Loja 8;21/01/2019;15027;62;45086;1127;3,755;3,7609;3,7609;3,7811;3,7541;96093;96010;-0,09;94863;96093;19450000;;;;;;;;
2794;Loja 8;22/01/2019;13469;70;40412;1009;3,8152;3,7545;3,7545;3,8173;3,7457;96008;95103;-0,94;94662;96070;13840000;;;;;;;;
2795;Loja 8;23/01/2019;18338;81;55014;1375;3,7663;3,7943;3,7943;3,8134;3,7561;95116;96558;1,53;95116;96576;14480000;;;;;;;;
2796;Loja 8;24/01/2019;15092;72;45277;1131;3,7733;3,7746;3,7746;3,7955;3,7381;96558;97677;1,16;96558;97677;15120000;;;;;;;;
2797;Loja 8;25/01/2019;13867;63;41612;1040;3,7708;3,7713;3,7713;3,7713;3,7708;96558;97677;1,16;96558;97677;15120000;;;;;;;;
2798;Loja 8;26/01/2019;15157;50;45473;1136;3,7708;3,7713;3,7713;3,7713;3,7708;96558;97677;1,16;96558;97677;15120000;;;;;;;;
2799;Loja 8;27/01/2019;14469;60;43409;1085;3,7708;3,7713;3,7713;3,7713;3,7708;96558;97677;1,16;96558;97677;15120000;;;;;;;;
